Description,Category,Local,Fair,Fair Description,Ecological,Ecological Description,Humane,Humane Description,Disqualifier,Disqualifier Description,Cost
Basil Leaves ,grocery,no,no,,no,,no,,no,,19.02
Strawberries,produce,no,no,,no,,na,,no,,7.71
Dried Beans,grocery,no,no,,no,,na,,no,,19.99
Brown Sugar,grocery,no,no,,no,,na,,no,,33.59
Coconut Milk,grocery,no,no,,no,,na,,no,,34.46
Taco Shell,grocery,no,no,,no,,na,,no,,21.66
Flour,grocery,no,no,,no,,na,,no,,31.08
Egg Noodles,grocery,no,no,,no,,na,,no,,12.64
Cheese,dairy,no,no,,no,,no,,no,,168.64
Cheese,dairy,no,no,,no,,no,,no,,74.1
Cheese,dairy,no,no,,no,,no,,no,,19.55
Eggs,eggs,no,no,,no,,yes,,no,,77.72
Whipping Cream,dairy,no,no,,no,,na,,no,,126.36
Cheese,dairy,no,no,,no,,no,,no,,106.06
Liquid Eggs,eggs,no,no,,no,,no,,no,,324.84
Butter,dairy,no,no,,no,,no,,no,,371.88
Cheese,dairy,no,no,,no,,no,,no,,38.28
Tofu,grocery,no,no,,yes,,na,,no,,63.1
Grapefruit,produce,no,no,,no,,na,,no,,24.63
Avocado,produce,no,no,,no,,na,,no,,100.92
Orange,produce,no,no,,no,,na,,no,,57.14
Eggs,eggs,no,no,,no,,yes,,no,,60.6
Carrots,produce,no,no,,no,,na,,no,,69.04
Melon,produce,no,no,,no,,na,,no,,97.86
Cabbage,produce,no,no,,no,,na,,no,,34.94
Lettuce,produce,no,no,,no,,na,,no,,128.96
Onion,produce,no,no,,no,,na,,no,,54.92
Tomatoes,produce,no,no,,no,,na,,no,,389.1
Cucumbers,produce,no,no,,no,,na,,no,,15.86
Herbs,produce,no,no,,no,,na,,no,,90.76
Broccoli,produce,no,no,,no,,na,,no,,114.12
Banana,produce,no,no,,no,,na,,no,,98.4
Cucumbers,produce,no,no,,no,,na,,no,,6.13
Avocados,produce,no,no,,no,,na,,no,,49.96
Gala Apples,produce,no,no,,no,,na,,no,,28.79
Large Red Pepper ,produce,no,no,,no,,na,,no,,55.94
Tomatoes,produce,no,no,,no,,na,,no,,111.95
Celery,produce,no,no,,no,,na,,no,,11.82
Trimmed Green Beans ,produce,no,no,,no,,na,,no,,48.38
Zucchini Squash,produce,no,no,,no,,na,,no,,59.73
Sugar Snap Peas ,produce,no,no,,no,,na,,no,,25.32
Strawberries,produce,no,no,,no,,na,,no,,28.17
Red Grapes - Mexico,produce,no,no,,no,,na,,no,,25.41
Red/Pink Grapefruit ,produce,no,no,,no,,na,,no,,26.63
Red Pepper,produce,no,no,,no,,na,,no,,83.91
Salad,produce,no,no,,no,,na,,no,,53.08
Green Beans,produce,no,no,,no,,na,,no,,72.57
Raspberries,produce,no,no,,no,,na,,no,,27.14
Blueberries,produce,no,no,,no,,na,,no,,132.42
Asian Pears,produce,no,no,,no,,na,,no,,19.26
Blackberries,produce,no,no,,no,,na,,no,,35.14
Zucchini,produce,no,no,,no,,na,,no,,59.73
Garlic,produce,no,no,,no,,na,,no,,34.67
Strawberries ,produce,no,no,,no,,na,,no,,28.17
Grapes,produce,no,no,,no,,na,,no,,62.55
Sugar Snap Peas ,produce,no,no,,no,,na,,no,,25.32
Pineapple,produce,no,no,,no,,na,,no,,154.24
Kale,produce,no,no,,no,,na,,no,,37.06
Pineapple ,produce,no,no,,no,,na,,no,,154.24
Rasberries ,produce,no,no,,no,,na,,no,,54.28
Ruby Grapefruit,produce,no,no,,no,,na,,no,,16.98
Corn Cob,produce,no,no,,no,,na,,no,,65.18
Ruby Grapefruit ,produce,no,no,,no,,na,,no,,8.49
Blackberries ,produce,no,no,,no,,na,,no,,35.14
Potatoes,produce,no,no,,no,,na,,no,,31.18
Large Gold Pepper ,produce,no,no,,no,,na,,no,,24.43
Lemons,produce,no,no,,no,,na,,no,,19.05
Large Gold Peppers,produce,no,no,,no,,na,,no,,48.86
Squash,produce,no,no,,no,,na,,no,,58.16
Honeydew Melon,produce,no,no,,no,,na,,no,,17.73
Avocado Semi Ripe ,produce,no,no,,no,,na,,no,,146.88
Cantaloupe,produce,no,no,,no,,na,,no,,20.97
Banana,produce,no,no,,no,,na,,no,,73.8
FSA Produce ,produce,no,no,,no,,na,,no,,847.83
FSA Produce,produce,no,no,,no,,na,,no,,386.04
FSA Produce,produce,no,no,,no,,na,,no,,959.84
Sour Patch Kid Berries,grocery,no,no,,no,,na,,no,,33.94
FSA Produce ,produce,no,no,,no,,na,,no,,2695.38
FSA Produce,produce,no,no,,no,,na,,no,,1143.84
Red Potato ,produce,yes,no,,no,,na,,no,,51.72
Cherry Garcia Ice Cream,grocery,no,yes,Fair Trade Certified Ingredient,yes,Fair Trade Certified,na,,no,,32.03
FSA Produce,produce,no,no,,no,,na,,no,,3085.21
Bread Products ,baked,no,no,,no,,na,,no,,693.9
Clam Chowder,grocery,no,no,,no,,na,,no,,10.64
Energy Drink,beverages,no,no,,no,,na,,no,,34
Brownies,baked,no,no,,no,,no,,no,,25.8
Tea,grocery,no,no,,no,,na,,no,,52
Sodas,beverages,no,no,,no,,na,,no,,110
Gluten Free Bread ,baked,no,no,,no,,na,,no,,128.3
Drinks,grocery,no,no,,no,,na,,no,,46
Nutrition Drink ,beverages,no,no,,no,,na,,no,,46
Meat Calzone,baked,no,no,,no,,no,,no,,66.96
Blueberry drink ,beverages,no,no,,no,,na,,no,,25
Lemonade,beverages,yes,no,,no,,na,,no,,32
Chocolate Milk ,beverages,no,no,,no,,na,,no,,15.6
Almonds,produce,no,no,,yes,,na,,no,,54.28
Hummus ,grocery,no,no,,no,USDA Certified Organic,na,,no,,27
Sunflower Seeds,produce,no,no,,yes,,na,,no,,12.65
Chicken Sandwich,grocery,no,no,,no,,no,,no,,114.84
Orange Juice,grocery,no,no,,no,,na,,no,,18
Coconut Water,beverages,no,no,,yes,,na,,no,,84.76
Yogurt ,dairy,no,no,,no,,no,,no,,188
Chocolate Chip Cookie,baked,no,no,,no,,no,,no,,20.28
Coconut Water,beverages,no,no,,no,,na,,no,,65.52
Yoghurt,dairy,no,no,,no,,no,,no,,150.68
Tea,beverages,no,yes,Fair for Life Certified by IMO,yes,USDA Certified Organic,na,,no,,40
Icecream,grocery,no,yes,Fair Trade Certified by Fair Labeling Organization (F.L.O.),yes,USDA Certified Organic,na,,no,,301.23
Clean Energy Drink ,beverages,no,yes,,yes,,na,,no,,31
Cabana beverages,beverages,yes,no,,no,,na,,no,,159.25
Edamame beans,produce,no,no,,no,,na,,no,,20.92
Ice Cream Sandwiches ,dairy,no,no,,no,,na,,no,,243
Drinks ,beverages,no,no,,no,,na,,no,,27.5
Juice,beverages,no,no,,no,,na,,no,,109.92
Orange juice,beverages,no,no,,no,,na,,no,,12
Energy drink ,beverages,no,no,,no,,na,,no,,15.25
Donuts,baked,no,no,,no,,na,,no,,136.44
Cereal,grocery,no,no,,no,,na,,no,,19.85
Oatmeal,grocery,no,no,,yes,,na,,no,,18.63
Energy drink,beverages,no,no,,no,,na,,no,,36.5
Extra Ginger Brew ,beverages,no,no,,no,,na,,no,,23.95
Tea,teacoffee,no,no,,no,,na,,no,,33.48
Salsa,grocery,no,no,,no,,na,,no,,15.79
Almond Milk,beverages,no,no,,no,,na,,no,,30.42
Eggs,eggs,no,no,,no,,yes,,no,,47.97
Aloe Drinks ,beverages,no,no,,no,,na,,no,,69
Energy Bar,grocery,no,no,,no,,na,,no,,14.32
Yerba Matte,teacoffee,no,yes,Fair for Life Certified by IMO,yes,USDA Certified Organic,na,,no,,100
Apple Chips,produce,no,no,,yes,,na,,no,,15.54
Chip,grocery,no,no,,no,,na,,no,,27.92
Flavored Jerky,meat,no,no,,no,,no,,no,,106.32
Vitamin C,grocery,no,no,,no,,na,,no,,18
Cracker,grocery,no,no,,no,,no,,no,,33.48
Cookies/Chips ,grocery,no,no,Fair Trade Certified by Fair Trade USA,yes,USDA Certified Organic,na,,no,,32
Snack Mix,grocery,no,no,,no,,no,,no,,34.9
Gluten Free Bread ,baked,no,no,,no,,na,,no,,327.84
Marley Beverages,beverages,no,no,,no,,na,,no,,75
Bagel ,baked,no,no,,no,,na,,no,,68.48
Butter,dairy,no,no,,yes,,no,,no,,49.67
Cookie Dough,baked,no,no,,yes,,na,,no,,41.06
Energy Bar,grocery,no,no,,yes,,na,,no,,21.48
Chips ,grocery,yes,no,,no,,na,,no,,111
Millenium Foods,grocery,no,no,,yes,,na,,no,,139.5
Flavored milks,dairy,no,no,,no,,no,,yes,"Blue #2, Green #3, Red #3, Yellow #5, Yellow #6",62.4
Yoghurt,dairy,no,no,,no,,no,,no,,117.85
Roasted Sunflower Seeds ,produce,no,no,,no,,na,,no,,38.01
Pumpkin Seeds,produce,no,no,,no,,na,,no,,40.68
Kombucha,beverages,no,no,,no,,na,,no,,56.08
Chip,grocery,no,no,,no,,no,,no,,17.88
Snap Pea Crisps ,grocery,no,no,,no,,na,,no,,75
Cliff Bar,grocery,no,no,,yes,USDA Certified Organic,na,,no,,31
Popchips,grocery,no,no,,no,,na,,no,,68.76
Dark Chocolate Almonds,produce,no,no,,no,,na,,no,,52.68
Yoghurt,grocery,no,no,,no,,na,,no,,18.61
Miso Cup,grocery,no,no,,yes,USDA Certified Organic,na,,no,,28
Brown Cow Cream Top products,dairy,no,no,,no,,yes,,no,,39.72
Meat Jerky,meat,no,no,,no,,na,,no,,76.44
Chips ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,51
Guacamole,grocery,no,no,,no,,na,,no,,26.21
Ginger Ale ,beverages,no,yes,Fair Trade Certified by Fair Trade USA,no,USDA Certified Organic,na,,no,,30
Sparkling Ice Flavored Beverages,beverages,no,no,,no,,na,,no,,130
Microwave Meals,grocery,no,no,,yes,,na,,no,,377.96
Energy Bar,grocery,no,no,,yes,,na,,no,,80.55
Cookies ,baked,no,no,,no,,na,,no,,41
Kefir,dairy,no,yes,,no,,no,,no,,35
Microwave Meals,grocery,no,no,,no,,na,,no,,154.08
Chocolate Hazelnut Spread,grocery,no,no,,no,,na,,no,,45.36
Pineapple Salsa ,grocery,no,no,,no,,na,,no,,45
Chicken Roll,grocery,no,no,,no,,no,,no,,33.22
Goldfish,grocery,no,no,,no,,na,,no,,22.24
Burrito ,grocery,no,no,,no,,no,,no,,48.14
Pop Tarts,grocery,no,no,,no,,na,,no,,23.76
Xing Tea beverages,teacoffee,no,no,,no,,na,,no,,230
Burrito,grocery,no,no,,yes,,na,,no,,24.07
Kefier ,dairy,no,no,,no,,na,,no,,10
Almond Milk ,beverages,no,no,,no,,na,,no,,64.17
Rice,grocery,no,no,,yes,,na,,no,,18.7
Energy Bar,grocery,no,no,,no,,na,,no,,71.7
Chips,grocery,no,no,,no,,no,,no,,23.76
Green Peas,produce,no,no,,no,,na,,no,,19.33
Chicken ,poultry,yes,no,,no,,no,,no,,809
Pad Thai,grocery,no,no,,no,,na,,no,,42.31
Pretzel ,grocery,no,no,,no,,no,,no,,51.48
Philly Meat ,meat,yes,no,,no,,no,,no,,115
Cookie ,baked,no,no,,no,,na,,no,,34.06
Espresso Coconut Water,beverages,no,no,,no,,na,,no,,43.68
Popcorn,grocery,no,no,,no,,no,,no,,119.7
Chicken ,poultry,no,no,,no,,no,,no,,1054
Ice Cream,dairy,no,no,,no,,no,,no,,127.56
Noodle Bowls ,produce,no,no,,no,,na,,no,,50.31
Pork and Beef,meat,yes,no,,no,,no,,no,,2166
Chicken ,poultry,no,no,,no,,no,,no,,479
Frozen Foods,grocery,no,no,,no,,na,,no,,59.68
Pretzels,grocery,no,no,,no,,na,,no,,49.28
Runa Energy Drinks,beverages,no,yes,Fair Trade Certified by Fair Trade USA,yes,USDA Certified Organic,na,,no,,47.5
Snickerdoodle,grocery,no,no,,no,,na,,no,,17.03
Argo Tea ,beverages,no,yes,,yes,,na,,no,,128.76
Cereal,grocery,no,no,,no,,na,,no,,7.74
Vitamins,grocery,no,no,,no,,na,,no,,19.18
Chicken,poultry,no,no,,no,,no,,no,,6161
San Pellegrino Beverages,beverages,no,no,,no,,na,,no,,18
Beef,meat,yes,no,,no,,no,,no,,1124
Nuts,produce,no,no,,no,,na,,no,,30.2
Nuts,produce,no,no,,no,,na,,no,,67.04
mini Raspberry Chocolate Bar ,grocery,no,yes,,no,,na,,no,,131.39
Strawberry Spread,grocery,no,no,,yes,,na,,no,,14.86
Cracker,grocery,no,no,,no,,na,,no,,33.54
Cookie,grocery,no,no,,no,,no,,no,,117.36
Clif Bar,grocery,no,no,,yes,,na,,no,,59.95
Beef and Pork ,meat,yes,no,,no,,no,,no,,4595
Pasta,grocery,no,no,,no,,na,,no,,32.18
Candy,grocery,no,no,,no,,no,,no,,515.26
Tropicana Orange Juice,beverages,no,no,,no,,na,,no,,106.92
Salsa,grocery,no,no,,no,,na,,no,,28.07
Chips,grocery,no,no,,no,,na,,no,,26
Brownie,baked,no,no,,no,,no,,no,,38.28
chia bar,grocery,no,no,,no,,na,,no,,52.65
Tortilla Chips,grocery,no,no,,no,,na,,no,,26
Agave Nectar ,grocery,no,no,,yes,,na,,no,,21.63
Hummus,grocery,no,no,,no,,na,,no,,43.2
Pizza ,eggs,no,no,,no,,na,,no,,151.6
Chocolate,grocery,no,no,,no,,na,,no,,37.56
Noodles ,grocery,no,no,,no,,na,,no,,16.86
Juices and Hummus ,grocery,no,no,,no,,na,,no,,217
Naked Juices,beverages,no,no,,no,,na,,no,,76.56
Tuna,fish,no,no,,no,,no,,no,,29.88
Fish ,fish,no,no,,yes,Monterey Bay Aquarium Regional Seafood Watch Guide ñGood Alternativesî,na,,no,,1165
Energy Shot,grocery,no,no,,yes,,na,,no,,33.3
Hummus ,grocery,no,no,,no,,na,,no,,44.07
Soup,grocery,no,no,,no,,no,,no,,89.36
Spread,grocery,no,no,,no,,na,,no,,98.52
Baked Goods ,baked,no,no,,no,,na,,no,,861
Evaporated Milk,dairy,no,no,,no,,na,,no,,7.47
Flaxseed Meal,grocery,no,no,,yes,,na,,no,,10.3
Instant Noodles,grocery,no,no,,no,,na,,no,,21.36
Pizza,baked,no,no,,no,,no,,no,,136.56
Beverages,beverages,no,no,,no,,na,,no,,252.7
"Wine, Beer, Non-Alch",beverages,no,no,,no,,na,,no,,8192
Condiment,grocery,no,no,,no,,na,,no,,7.17
snacks ,grocery,no,no,,no,,na,,no,,28.82
Snacks,grocery,no,no,,no,,na,,no,,682.2
Goat Cheese ,dairy,no,no,,no,,no,,no,,69.8
Organic Snacks,grocery,no,no,,yes,,na,,no,,117.08
Red Bull,beverages,no,no,,no,,na,,no,,501
Crackers ,grocery,yes,no,,no,,na,,no,,26.72
Bread ,baked,no,no,,no,,na,,no,,1965
Gala Apples,produce,yes,no,,yes,,na,,no,,660
Celery ,produce,yes,no,,no,,na,,no,,48
Sweets,grocery,no,no,,no,,na,,no,,23.88
Flour,grocery,no,no,,no,,na,,no,,23.34
Bread,baked,no,no,,no,,na,,no,,7.38
Water,beverages,no,no,,no,,na,,no,,45.36
Water,beverages,no,no,,no,,na,,no,,35.76
Soup,grocery,no,no,,no,,na,,no,,159.2
Crackers,grocery,no,no,,no,,no,,no,,50.16
Popcorn,grocery,no,no,,no,,na,,no,,59.4
Candy,grocery,no,no,,no,,na,,no,,254.72
Candy,baked,no,no,,no,,na,,no,,81.12
Soda,beverages,no,no,,no,,na,,no,,540.15
Juice,beverages,no,no,,no,,na,,no,,1068.1
Bakery,baked,no,no,,no,,na,,no,,21.48
Eggs,eggs,no,no,,no,,yes,,no,,349.74
Peanut Butter ,grocery,no,no,,no,,na,,no,,11.07
yogurt ,dairy,no,no,,no,,na,,no,,15
Cheese,dairy,no,no,,no,,no,,no,,2253.58
Mustard,grocery,no,no,,no,,na,,no,,12.83
Granola ,grocery,no,no,,yes,,na,,no,,273.24
Artichoke Hearts,grocery,no,no,,no,,na,,no,,120.62
Granola ,grocery,no,no,,no,,na,,no,,48.98
Soft Drinks/Soda ,beverages,no,no,,no,,na,,no,,300
Water,beverages,no,no,,yes,,na,,no,,55.2
Coffee,teacoffee,no,no,,yes,USDA Certified Organic,na,,no,,632.05
Frozen Criossants,grocery,no,no,,no,,na,,no,,233.28
Half and Half,beverages,no,no,,yes,USDA Certified Organic,na,,no,,15
Cheese and Spreads,grocery,no,no,,no,,na,,no,,135.84
Soda/Sport Drinks ,beverages,no,no,,no,,na,,no,,224
Crackers,baked,no,no,,no,,na,,no,,142.48
Packer Groceries,grocery,no,no,,no,,na,,no,,82.7
Fruit,produce,no,no,,no,,na,,no,,240.21
 Cheese ,dairy,no,no,,no,,na,,no,,1031.46
Bagles,baked,no,no,,no,,na,,no,,28.48
Diced Tomatoes,grocery,no,no,,no,,na,,no,,50.4
Fruit Drinks,beverages,no,no,,no,,na,,no,,991
Liquid Eggs,eggs,no,no,,no,,na,,no,,1353.5
Tomatillo and beans,produce,no,no,,no,,na,,no,,95.74
Fruit Bars ,grocery,no,no,,no,,na,,no,,75
Sysco Classics Food,grocery,no,no,,no,,na,,no,,55.53
Blackeyed Pea,produce,no,no,,no,,na,,no,,81.3
"Dough, non dairy whipped ",baked,no,no,,no,,na,,no,,378.17
Coffee,teacoffee,no,no,,yes,USDA Certified Organic,na,,no,,331
Sausage,meat,no,no,,no,,na,,no,,77.88
Juice ,beverages,no,no,,no,,na,,no,,27
Chipotle Pepper,grocery,no,no,,no,,na,,no,,18.87
Tea and Beverages,beverages,no,no,,no,,na,,no,,609.59
Coffee,beverages,no,no,,yes,USDA Certified Organic,na,,no,,165.91
Pastry,baked,no,no,,no,,no,,no,,46.14
Pasta,grocery,no,no,,no,,na,,no,,216.32
Sausage Pork Patty,meat,no,no,,no,,no,,no,,82.54
Bread,baked,no,no,,no,,na,,no,,69.8
Rice,grocery,no,no,,no,,na,,no,,15.11
Rice,grocery,no,no,,no,,na,,no,,33.19
Cranberries,produce,no,no,,no,,na,,no,,16.53
Pasta,grocery,no,no,,no,,na,,no,,38.23
French Fries,grocery,no,no,,no,,na,,no,,184.44
Tinned Tomatoes,grocery,no,no,,no,,na,,no,,24.74
Tomato Paste,grocery,no,no,,no,,na,,no,,29.85
Pie,baked,no,no,,no,,na,,no,,256.55
Canola Oil,grocery,no,no,,no,,na,,no,,51.52
Pie,baked,no,no,,no,,na,,no,,44.93
Curry Paste,grocery,no,no,,no,,na,,no,,18.22
"Cereals, Honey, Sauces",grocery,no,no,,no,,na,,no,,763.66
Mustard,grocery,no,no,,no,,na,,no,,14.52
Vinegar,grocery,no,no,,no,,na,,no,,22.56
Energy Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,11
Rice,grocery,no,no,,no,,na,,no,,30.6
Spice,grocery,no,no,,no,,na,,no,,46.49
Tomato Paste,grocery,no,no,,no,,na,,no,,29.85
"fruit, baking ingredients,   ",grocery,no,no,,no,,na,,no,,1020.92
Mayonnaise,grocery,no,no,,no,,no,,no,,45.1
Cheese,dairy,no,no,,no,,no,,no,,737.82
Vinegar,grocery,no,no,,no,,no,,no,,26.58
Cereal,grocery,no,no,,no,,na,,no,,48.98
Capers,grocery,no,no,,no,,na,,no,,15.29
Spreads,grocery,no,no,,no,,na,,no,,111.52
Pickle Chips,grocery,no,no,,no,,na,,no,,65.76
Fruit,produce,no,no,,no,,na,,no,,184.11
Rice,grocery,no,no,,no,,na,,no,,38.16
Ketchup,grocery,no,no,,no,,na,,no,,118.26
Tea and Juice,beverages,no,no,,no,,na,,no,,143.61
Beans,produce,no,no,,no,,na,,no,,70.6
Candy,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,114.13
Ham,meat,no,no,,no,,no,,no,,97.28
Corned Beef,meat,no,no,,no,,na,,no,,74.82
Cereal,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,117.94
Canola Oil,grocery,no,no,,no,,na,,no,,44.98
Energy Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,44
Spice,grocery,no,no,,no,,na,,no,,64.27
Potato ,produce,no,no,,no,,na,,no,,454.61
Rice,grocery,no,no,,no,,na,,no,,30.22
Oyster Crackers,grocery,no,no,,no,,na,,no,,15.84
Granulated Onion,grocery,no,no,,no,,na,,no,,14.38
Potato Chips,grocery,no,no,,no,,na,,no,,50.32
Dill Pickle Sandwich,grocery,no,no,,no,,na,,no,,35.9
Mayonnaise,dairy,no,no,,no,,na,,no,,89.98
Apricot Preserve,grocery,no,no,,no,,na,,no,,12.38
Rice,grocery,no,no,,no,,na,,no,,81.02
Tea,teacoffee,no,no,,no,USDA Certified Organic,na,,no,Contains high fructose corn syrup,16
Coconut Milk,grocery,no,no,,no,,na,,no,,34.46
Pasta,grocery,no,no,,no,,na,,no,,55.52
Ketchup,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,84.25
Dried Cranberries,produce,no,no,,no,,na,,yes,Contains Genetically Modified Organisms (GMOs),27.82
Cheese,dairy,no,no,,no,,no,,no,,23.31
"naan, pita ",grocery,no,no,,no,,na,,no,,152.18
Cheese & Soy Milk,dairy,no,no,,no,,no,,no,,135.53
Rice,grocery,no,no,,no,,na,,no,,58.46
Bacon,meat,no,no,,no,,no,,no,,332.64
Rice,grocery,no,no,,no,,na,,no,,66.38
Meat,meat,no,no,,no,,no,,no,,160.39
"mini bagels, Dinner roll ",baked,no,no,,no,,na,,no,,120.54
Corn Flour,grocery,no,no,,no,,na,,no,,26.61
Sodas/Sports Drinks,beverages,no,no,,no,,na,,yes,Contains high fructose corn syrup,1225.82
Fish,fish,no,no,,yes,,na,,no,,676.65
Jalepeno Peppers,grocery,no,no,,no,,na,,no,,35.9
Mustard,grocery,no,no,,no,,na,,no,,7.13
Couscous,grocery,no,no,,no,,na,,no,,21.79
Pickled Ginger,grocery,no,no,,no,,na,,no,,29.19
Honey,grocery,no,no,,no,,no,,no,,91.13
Cheese,dairy,no,no,,no,,no,,no,,408.01
Spice ,grocery,no,no,,no,,na,,no,,225.74
artichoke heart ,produce,no,no,,no,,na,,no,,60.31
FSA Produce,produce,no,no,,no,,na,,no,,10637.65
Margarine,grocery,no,no,,no,,no,,yes,,39.06
Milk and Dairy,dairy,no,no,,no,,no,,no,,4221.78
"corn tortilla, flour tortilla",grocery,no,no,,no,,na,,no,,111.23
Cream Cheese,dairy,no,no,,no,,no,,no,,34
cranberries ,grocery,no,no,,no,,na,,no,,13.91
"Oil, ",grocery,no,no,,no,,na,,no,,228.57
Bread Products,baked,no,no,,no,,na,,no,,934.18
Organic Milk,dairy,no,no,,yes,USDA Certified Organic,no,,no,,116.04
Sysco Classic Foods,grocery,no,no,,no,,na,,no,,525.18
Brownie,baked,no,no,,no,,na,,no,,7.2
Sandwich,meat,no,no,,no,,no,,no,,65.08
Honey Mustard Pretzels,grocery,no,no,,no,,na,,no,,13.99
Sandwich,meat,no,no,,no,,no,,no,,40.87
"Tomatilla, Tortilla, ",grocery,no,no,,no,,na,,no,,139.66
Cookie,baked,no,no,,no,,na,,no,,23.48
Sriracha ,grocery,no,no,,no,,na,,no,,28.89
Mustard,grocery,no,no,,no,,na,,no,,7.58
Sysco Frozen Groceries,grocery,no,no,,no,,na,,no,,583.85
topping ,grocery,no,no,,no,,na,,no,,34.03
Baked Goods,baked,no,no,,no,,na,,no,,204.51
Lamb Western Foods,grocery,no,no,,no,,na,,no,,422.25
Donut,baked,no,no,,no,,na,,no,,80.53
"Cereal, Jelly ",grocery,no,no,,no,,na,,no,,123
vegetables,grocery,no,no,,no,,na,,no,,88.74
Mini Marshmallow ,grocery,no,no,,no,,na,,no,,25.11
Cheese ,dairy,no,no,,no,,na,,no,,19.77
Pam spray ,grocery,no,no,,no,,na,,no,,16.97
Pancake Syrup ,grocery,no,no,,no,,na,,no,,23.81
Drinks,beverages,no,no,,no,,na,,no,,12
Sysco Groceries,grocery,no,no,,no,,na,,no,,462.27
Froot Loops ,grocery,no,no,,no,,na,,no,,37.9
Rice Chex ,grocery,no,no,,no,,na,,no,,41.04
Yellow Pepper ,grocery,no,no,,no,,na,,no,,47.49
Tofu,produce,no,no,,yes,,na,,no,,247.04
"noodle, sauce ",grocery,no,no,,no,,na,,no,,64.96
Drinks,beverages,no,no,Fair Trade Certified by Fair Trade USA,no,USDA Certified Organic,na,,no,,1194
Runa Tea,teacoffee,no,yes,Fair Trade Certified by Ecocert,yes,USDA Certified Organic,na,,no,,78
Drinks,beverages,no,yes,Fair Trade Certified by Fair Trade USA,yes,USDA Certified Organic,na,,no,,120
Albert's Organics organic Produce,produce,no,no,,yes,,na,,no,,235.1
Drinks,beverages,no,no,,no,,na,,no,,724
Tea Drink,beverages,no,yes,Fair Trade Certified by Fair Trade USA,yes,USDA Certified Organic,na,,no,,100
Protein Shake Drinks ,beverages,no,no,,yes,USDA Certified Organic,na,,no,,101
Albert's organics meat,meat,no,no,,no,,no,,no,,138.7
Albert's organics groceries,grocery,no,no,,no,,na,,no,,13.69
Albert's Organics Cheese,dairy,no,no,,no,,no,,no,,154.18
Core Mark Groceries,grocery,no,no,,no,,na,,no,,113.15
Chocolate chip cookie,baked,no,no,,no,,no,,no,,23.48
Donuts  ,baked,no,no,,no,,na,,no,,80.53
Core Mark Beverages,beverages,no,no,,no,,na,,no,,152.92
Organic snack food,grocery,no,no,,yes,,no,,no,,50.85
Cheese ,dairy,no,no,,no,,na,,no,,322.67
Fast Food,grocery,no,no,,no,,no,,no,,131.42
Unsalted Butter ,dairy,no,no,,no,,na,,no,,247.92
Core Food Snacks,grocery,no,no,,no,,na,,no,,640.08
Eggs ,eggs,no,no,,no,,yes,,no,,194.3
Beef Jerky,meat,no,no,,no,,no,,no,,37.57
Liquid Egg ,eggs,no,no,,no,,na,,no,,812.1
Beverages,beverages,no,no,,no,,na,,no,,60.95
Extra Firm Tofu ,produce,no,no,,yes,USDA Certified Organic,na,,no,,100.96
Core Mark Candy,grocery,no,no,,no,,na,,no,,667.08
Snack Food,grocery,no,no,,no,,na,,no,,400.01
Sausage ,meat,no,no,,no,,no,,yes,Contains Propyl Gallate,135.28
Candy,grocery,no,no,,no,,na,,no,,74.63
Candy,grocery,no,no,,no,,na,,no,,53.97
Groceries,grocery,no,no,,no,,na,,no,,184.83
kielbasa sausage ,meat,no,no,,no,,no,,no,,74.66
black forest ham ,meat,no,no,,no,,no,,no,,262.2
Core Mark Groceries,grocery,no,no,,no,,na,,no,,875.67
Wontons,grocery,no,no,,no,,no,,no,,47.04
Tuna ,fish,no,no,,no,,no,,no,,67.18
Turkey Burger ,meat,no,no,,no,,no,,no,,94.12
 Burrito,grocery,no,no,,no,,no,,no,,24.07
Yogurt ,dairy,no,no,,no,,no,,no,,202
Core Mark Dairy,dairy,no,no,,no,,no,,no,,576.79
corned beef,meat,no,no,,no,,na,,no,,149.64
Yogurt,grocery,no,no,,no,,na,,no,,52
Applewood Bacon,meat,no,no,,no,,no,,no,,831.6
Cookie Dough ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,72
Hummus,grocery,no,no,,yes,USDA Certified Organic,na,,no,,77
Bottled Water,grocery,no,no,,no,,na,,no,,35.68
Hummus ,grocery,yes,no,,no,,na,,no,,35
Cookie Dough ,grocery,no,no,,no,,na,,no,,34
"Ice Cream Sandwich, Milkshakes, Smoothies",dairy,no,no,,no,,no,,no,,288.23
Seeds and yoghurt,dairy,no,no,,no,,no,,no,,78.39
Ice Cream,dairy,no,yes,Fair Trade Certified by Fair Labeling Organization (F.L.O.),yes,USDA Certified Organic,no,,no,,64.06
Cookie Dough ,grocery,no,no,,no,,na,,no,,120
Ice Cream,dairy,no,no,,no,,na,,no,,31.89
Almond butter,grocery,no,no,,yes,,na,,no,,16.97
ALoe Drink,beverages,no,no,,no,,na,,no,,95
Hummus,grocery,no,no,,no,,na,,no,,14.69
Miso Soup ,grocery,no,no,,no,,na,,no,,64
